0.215: [Full GC 0.215: [Tenured: 142K->118K(1408K), 0.0043737 secs] 152K->118K(1984K), [Perm : 1336K->1336K(8192K)], 0.0044377 secs]
0.220: [Full GC 0.220: [Tenured: 118K->130K(1408K), 0.0041902 secs] 132K->130K(1984K), [Perm : 1336K->1336K(8192K)], 0.0042494 secs]
0.225: [Full GC 0.225: [Tenured: 130K->130K(1408K), 0.0044123 secs] 140K->130K(1984K), [Perm : 1336K->1336K(8192K)], 0.0044782 secs]
0.230: [Full GC 0.230: [Tenured: 130K->142K(1408K), 0.0041799 secs] 144K->142K(1984K), [Perm : 1336K->1336K(8192K)], 0.0042402 secs]
0.235: [Full GC 0.235: [Tenured: 142K->118K(1408K), 0.0043838 secs] 152K->118K(1984K), [Perm : 1336K->1336K(8192K)], 0.0044478 secs]
0.239: [Full GC 0.239: [Tenured: 118K->130K(1408K), 0.0045838 secs] 132K->130K(1984K), [Perm : 1336K->1336K(8192K)], 0.0046467 secs]
0.244: [Full GC 0.244: [Tenured: 130K->130K(1408K), 0.0044087 secs] 140K->130K(1984K), [Perm : 1336K->1336K(8192K)], 0.0044724 secs]
0.249: [Full GC 0.249: [Tenured: 130K->142K(1408K), 0.0041860 secs] 144K->142K(1984K), [Perm : 1336K->1336K(8192K)], 0.0042441 secs]
0.254: [Full GC 0.254: [Tenured: 142K->118K(1408K), 0.0046266 secs] 152K->118K(1984K), [Perm : 1336K->1336K(8192K)], 0.0046911 secs]
0.259: [Full GC 0.259: [Tenured: 118K->130K(1408K), 0.0041991 secs] 132K->130K(1984K), [Perm : 1336K->1336K(8192K)], 0.0042586 secs]
0.263: [Full GC 0.263: [Tenured: 130K->130K(1408K), 0.0043771 secs] 140K->130K(1984K), [Perm : 1336K->1336K(8192K)], 0.0044402 secs]
0.268: [Full GC 0.268: [Tenured: 130K->142K(1408K), 0.0044274 secs] 144K->142K(1984K), [Perm : 1336K->1336K(8192K)], 0.0044872 secs]
0.273: [Full GC 0.273: [Tenured: 142K->118K(1408K), 0.0044556 secs] 152K->118K(1984K), [Perm : 1336K->1336K(8192K)], 0.0045212 secs]
0.278: [Full GC 0.278: [Tenured: 118K->130K(1408K), 0.0041969 secs] 132K->130K(1984K), [Perm : 1336K->1336K(8192K)], 0.0042561 secs]
0.282: [Full GC 0.283: [Tenured: 130K->130K(1408K), 0.0043701 secs] 140K->130K(1984K), [Perm : 1336K->1336K(8192K)], 0.0044335 secs]
0.287: [Full GC 0.287: [Tenured: 130K->142K(1408K), 0.0045000 secs] 144K->142K(1984K), [Perm : 1336K->1336K(8192K)], 0.0045604 secs]
0.292: [Full GC 0.292: [Tenured: 142K->118K(1408K), 0.0044056 secs] 152K->118K(1984K), [Perm : 1336K->1336K(8192K)], 0.0044693 secs]
0.297: [Full GC 0.297: [Tenured: 118K->130K(1408K), 0.0041891 secs] 132K->130K(1984K), [Perm : 1336K->1336K(8192K)], 0.0042477 secs]
0.302: [Full GC 0.302: [Tenured: 130K->130K(1408K), 0.0047207 secs] 140K->130K(1984K), [Perm : 1336K->1336K(8192K)], 0.0047844 secs]
